"variant";"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"1. Full network";"Afghanistan";"Asia";"AFG";"AFG";"gold";5722130,769;0,00100991877583987;0;4,03975564903765e-05
"1. Full network";"Albania";"Europe";"ALB";"ALB";"skyblue";9716228,613;0,00171322341627708;0;4,04458200307263e-05
"1. Full network";"Algeria";"Africa";"DZA";"DZA";"tomato";43621474,967;0,0149807063580035;0;4,06018440170684e-05
"1. Full network";"American Samoa";"Oceania";"ASM";"ASM";"orchid";253973,205;2,27907519825688e-05;0;3,73045128557419e-05
"1. Full network";"Andorra";"Europe";"AND";"AND";"skyblue";1870278,766;0,000175888889296079;0;4,03953977265554e-05
"1. Full network";"Angola";"Africa";"AGO";"AGO";"tomato";14536768,346;0,0137839652764734;0;4,0486844492153e-05
"1. Full network";"Antigua and Barbuda";"Americas";"ATG";"ATG";"palegreen3";996406,517;0,00038864403446557;0;3,99139113464326e-05
"1. Full network";"Azerbaijan";"Asia";"AZE";"AZE";"gold";24300977,763;0,0060086005751057;0;4,05340583997147e-05
"1. Full network";"Argentina";"Americas";"ARG";"ARG";"palegreen3";59638711,949;0,0249050611133587;0;4,06017556046463e-05
"1. Full network";"Australia";"Oceania";"AUS";"AUS";"orchid";287224026,958;0,170342852143767;1558;4,06285900018237e-05
"1. Full network";"Austria";"Europe";"AUT";"AUT";"skyblue";208697739,913;0,0713868821400223;0;4,06281294912472e-05
"1. Full network";"Bahamas";"Americas";"BHS";"BHS";"palegreen3";8111612,622;0,00388118624546594;224;4,05553142405173e-05
"1. Full network";"Bahrain";"Asia";"BHR";"BHR";"gold";17053788,872;0,00472677871014104;0;4,04790042329522e-05
"1. Full network";"Bangladesh";"Asia";"BGD";"BGD";"gold";63551755,812;0,0269900946643177;447;4,06179645376274e-05
"1. Full network";"Armenia";"Asia";"ARM";"ARM";"gold";17355431,329;0,00365536055203747;224;4,05909783438719e-05
"1. Full network";"Barbados";"Americas";"BRB";"BRB";"palegreen3";2360358,781;0,000683395584016456;224;4,02209296207394e-05
"1. Full network";"Belgium";"Europe";"BEL";"BEL";"skyblue";437993130,852;0,124594606769706;224;4,0627490646566e-05
"1. Full network";"Bermuda";"Americas";"BMU";"BMU";"palegreen3";3317200,094;0,000983624925660742;0;4,04506458653075e-05
"1. Full network";"Bhutan";"Asia";"BTN";"BTN";"gold";1437781,993;0,000239795128096451;0;4,03206828118265e-05
"1. Full network";"Bolivia (Plurinational State of)";"Americas";"BOL";"BOL";"palegreen3";9885387,584;0,0034396666372654;0;4,04665183289414e-05
"1. Full network";"Bosnia Herzegovina";"Europe";"BIH";"BIH";"skyblue";16436828,339;0,00270284132256644;0;4,04328277910909e-05
"1. Full network";"Botswana";"Africa";"BWA";"BWA";"tomato";6462216,117;0,00120091673717605;0;4,05326124326211e-05
"1. Full network";"Brazil";"Americas";"BRA";"BRA";"palegreen3";275989304,341;0,157895652695067;893;4,06283228356385e-05
"1. Full network";"Belize";"Americas";"BLZ";"BLZ";"palegreen3";1661490,848;0,00067563478394714;0;4,01074087660906e-05
"1. Full network";"Br. Indian Ocean Terr.";"Asia";"IOT";"IOT";"gold";85564,398;7,94698451541631e-06;0;3,39079529568706e-05
"1. Full network";"Solomon Isds";"Oceania";"SLB";"SLB";"orchid";554556,225;0,000348367758300496;0;3,8926825132479e-05
"1. Full network";"Br. Virgin Isds";"Americas";"VGB";"VGB";"palegreen3";1017113,059;0,000342022038633231;0;3,92050615434665e-05
"1. Full network";"Brunei Darussalam";"Asia";"BRN";"BRN";"gold";7952381,857;0,00322984854410938;0;4,04826403765004e-05
"1. Full network";"Bulgaria";"Europe";"BGR";"BGR";"skyblue";53822002,838;0,0117429793712218;0;4,05676265745592e-05
"1. Full network";"Myanmar";"Asia";"MMR";"MMR";"gold";20830655,953;0,00922680855451871;0;4,05864277866654e-05
"1. Full network";"Burundi";"Africa";"BDI";"BDI";"tomato";483961,976;8,01401742326928e-05;0;3,69356142111002e-05
"1. Full network";"Belarus";"Europe";"BLR";"BLR";"skyblue";16464717,896;0,00489642840205995;0;4,05773195820777e-05
"1. Full network";"Cambodia";"Asia";"KHM";"KHM";"gold";37521035,514;0,0197619677472441;0;4,06064809014369e-05
"1. Full network";"Cameroon";"Africa";"CMR";"CMR";"tomato";8230007,371;0,00345539036571332;224;4,05329570187306e-05
"1. Full network";"Canada";"Americas";"CAN";"CAN";"palegreen3";533151871,675;0,459251840050231;670;4,06332414333678e-05
"1. Full network";"Cabo Verde";"Africa";"CPV";"CPV";"tomato";997253,053;0,000114876236266277;0;3,97657305883855e-05
"1. Full network";"Cayman Isds";"Americas";"CYM";"CYM";"palegreen3";6477185,385;0,00160141794757626;0;4,04765276099053e-05
"1. Full network";"Central African Rep.";"Africa";"CAF";"CAF";"tomato";826854,552;0,000164211146848855;0;3,88386225883828e-05
"1. Full network";"Sri Lanka";"Asia";"LKA";"LKA";"gold";19194040,994;0,00654420517461943;0;4,05490674593462e-05
"1. Full network";"Chad";"Africa";"TCD";"TCD";"tomato";1158481,587;0,00108066111470601;0;3,96649411222833e-05
"1. Full network";"Chile";"Americas";"CHL";"CHL";"palegreen3";82591754,117;0,0549520640460693;448;4,06149767098557e-05
"1. Full network";"China";"Asia";"CHN";"CHN";"gold";2090351058,196;0,8555349948378;38015;4,06334718334587e-05
"1. Full network";"Christmas Isds";"Oceania";"CXR";"CXR";"orchid";45226,589;6,75717024584392e-06;0;3,26401460498698e-05
"1. Full network";"Cocos Isds";"Oceania";"CCK";"CCK";"orchid";13364,659;3,06345518945343e-06;0;2,24542706859501e-05
"1. Full network";"Colombia";"Americas";"COL";"COL";"palegreen3";63065745,54;0,0323743861647521;0;4,06128598526558e-05
"1. Full network";"Comoros";"Africa";"COM";"COM";"tomato";352663,102;7,04362463967173e-05;0;3,72060678553738e-05
"1. Full network";"Congo";"Africa";"COG";"COG";"tomato";4393168,473;0,0034636202089423;0;4,04104997451235e-05
"1. Full network";"Dem. Rep. of the Congo";"Africa";"COD";"COD";"tomato";11520867,171;0,0136071890342116;0;4,0548028356814e-05
"1. Full network";"Cook Isds";"Oceania";"COK";"COK";"orchid";263436,341;2,85952202567522e-05;0;3,7132692222111e-05
"1. Full network";"Costa Rica";"Americas";"CRI";"CRI";"palegreen3";23667731,94;0,0147372343273838;0;4,0591776261173e-05
"1. Full network";"Croatia";"Europe";"HRV";"HRV";"skyblue";46638554,122;0,00716500121109477;0;4,05770534048967e-05
"1. Full network";"Cuba";"Americas";"CUB";"CUB";"palegreen3";3675210,027;0,00102988586443388;0;4,01938464759514e-05
"1. Full network";"Cyprus";"Asia";"CYP";"CYP";"gold";15832361,213;0,00189501978281048;224;4,04862142618352e-05
"1. Full network";"Czechia";"Europe";"CZE";"CZE";"skyblue";230183900,456;0,075118776003477;224;4,06259620553578e-05
"1. Full network";"Benin";"Africa";"BEN";"BEN";"tomato";4599661,597;0,000922286842599039;224;4,02131295269409e-05
"1. Full network";"Denmark";"Europe";"DNK";"DNK";"skyblue";124875176,687;0,0383636220122772;448;4,06181069835512e-05
"1. Full network";"Dominica";"Americas";"DMA";"DMA";"palegreen3";241803,794;6,7673470091703e-05;0;3,51397668796122e-05
"1. Full network";"Dominican Rep.";"Americas";"DOM";"DOM";"palegreen3";32691283,947;0,0165264103036992;0;4,06060898873432e-05
"1. Full network";"Ecuador";"Americas";"ECU";"ECU";"palegreen3";28270688,506;0,0182442366616567;0;4,05789645023069e-05
"1. Full network";"El Salvador";"Americas";"SLV";"SLV";"palegreen3";16373543,417;0,00594999976777296;0;4,05515063154241e-05
"1. Full network";"Equatorial Guinea";"Africa";"GNQ";"GNQ";"tomato";1008644,468;0,00108246534507097;0;3,85622044691445e-05
"1. Full network";"Ethiopia";"Africa";"ETH";"ETH";"tomato";7224165,284;0,00274618587630805;0;4,05195929719701e-05
"1. Full network";"Eritrea";"Africa";"ERI";"ERI";"tomato";345682,974;0,000340765703464442;0;3,84348788431532e-05
"1. Full network";"Estonia";"Europe";"EST";"EST";"skyblue";24364465,542;0,00476639164816019;0;4,04904123157331e-05
"1. Full network";"Falkland Isds (Malvinas)";"Americas";"FLK";"FLK";"palegreen3";238913,949;5,85636863190399e-05;0;3,80247681658938e-05
"1. Full network";"Fiji";"Oceania";"FJI";"FJI";"orchid";3514901,866;0,000891843123097497;224;4,01501447471821e-05
"1. Full network";"Finland";"Europe";"FIN";"FIN";"skyblue";77744873,056;0,0240255020322928;222;4,05999335398784e-05
"1. Full network";"France";"Europe";"FRA";"FRA";"skyblue";745646808,838;0,219600636067921;2860;4,06306811095124e-05
"1. Full network";"French Polynesia";"Oceania";"PYF";"PYF";"orchid";1798721,67;0,000339716119575002;0;4,02034399679261e-05
"1. Full network";"Fr. South Antarctic Terr.";"Antarctica";"ATF";"ATF";"lightgray";27083,405;5,10754691849923e-06;0;1,68558420822963e-05
"1. Full network";"Djibouti";"Africa";"DJI";"DJI";"tomato";6903459,756;0,00179077778581112;0;4,05278608206384e-05
"1. Full network";"Gabon";"Africa";"GAB";"GAB";"tomato";2670723,791;0,00251551751819183;0;4,01249820942203e-05
"1. Full network";"Georgia";"Asia";"GEO";"GEO";"gold";13150337,159;0,00205205826408429;0;4,04926326958313e-05
"1. Full network";"Gambia";"Africa";"GMB";"GMB";"tomato";2037718,79;0,000399373711935979;224;3,98522542575847e-05
"1. Full network";"State of Palestine";"Asia";"PSE";"PSE";"gold";2003475,586;0,000190040927041654;0;4,02402269598828e-05
"1. Full network";"Germany";"Europe";"DEU";"DEU";"skyblue";1345366379,845;0,431472828782699;16105;4,06331462067971e-05
"1. Full network";"Ghana";"Africa";"GHA";"GHA";"tomato";20266231,445;0,00867093194321954;0;4,05961799828856e-05
"1. Full network";"Gibraltar";"Europe";"GIB";"GIB";"skyblue";9885280,575;0,000952740943543043;0;4,05237596713226e-05
"1. Full network";"Kiribati";"Oceania";"KIR";"KIR";"orchid";186889,52;4,77200433903773e-05;0;3,47476334365177e-05
"1. Full network";"Greece";"Europe";"GRC";"GRC";"skyblue";90997342,63;0,0167037902799728;293;4,05949479766599e-05
"1. Full network";"Greenland";"Americas";"GRL";"GRL";"palegreen3";991565,252;0,000302714202970187;0;4,00638014676638e-05
"1. Full network";"Grenada";"Americas";"GRD";"GRD";"palegreen3";380370,642;0,000122804275172282;0;3,83017827923541e-05
"1. Full network";"Guam";"Oceania";"GUM";"GUM";"orchid";851052,18;0,000114547835896559;0;3,94651343970034e-05
"1. Full network";"Guatemala";"Americas";"GTM";"GTM";"palegreen3";32443325,716;0,0137284233522816;0;4,05969090416635e-05
"1. Full network";"Guinea";"Africa";"GIN";"GIN";"tomato";7724062,886;0,00606837128737433;0;4,05393737874069e-05
"1. Full network";"Guyana";"Americas";"GUY";"GUY";"palegreen3";4025623,439;0,00598384318778038;0;4,0334185062894e-05
"1. Full network";"Haiti";"Americas";"HTI";"HTI";"palegreen3";3403558,907;0,00130520036909733;0;4,03113267638394e-05
"1. Full network";"Honduras";"Americas";"HND";"HND";"palegreen3";17535878,233;0,0085149174204302;0;4,0574539879283e-05
"1. Full network";"China, Hong Kong SAR";"Asia";"HKG";"HKG";"gold";674006154,749999;0,221708381005236;224;4,06322711284746e-05
"1. Full network";"Hungary";"Europe";"HUN";"HUN";"skyblue";150315491,27;0,0450885656544202;0;4,06219454617954e-05
"1. Full network";"Iceland";"Europe";"ISL";"ISL";"skyblue";9986986,496;0,00288300147720449;0;4,02776947555696e-05
"1. Full network";"Indonesia";"Asia";"IDN";"IDN";"gold";230658000,647;0,12455523858973;670;4,06285251389488e-05
"1. Full network";"Iran";"Asia";"IRN";"IRN";"gold";22566874,583;0,0080767356009606;0;4,05923365740679e-05
"1. Full network";"Iraq";"Asia";"IRQ";"IRQ";"gold";51536031,787;0,0404008410189728;0;4,06105788915289e-05
"1. Full network";"Ireland";"Europe";"IRL";"IRL";"skyblue";130395151,605;0,0980993179063689;224;4,06182560603905e-05
"1. Full network";"Israel";"Asia";"ISR";"ISR";"gold";85748718,79;0,0353057944730338;0;4,06049139972765e-05
"1. Full network";"Italy";"Europe";"ITA";"ITA";"skyblue";584070543,803;0,183440989336935;2873;4,06292702615195e-05
"1. Full network";"C̫te d'Ivoire";"Africa";"CIV";"CIV";"tomato";18563443,29;0,00599992979029788;223;4,05213315634966e-05
"1. Full network";"Jamaica";"Americas";"JAM";"JAM";"palegreen3";6033973,58;0,00239876660582911;0;4,04919396463369e-05
"1. Full network";"Japan";"Asia";"JPN";"JPN";"gold";714357263,599;0,355210569079225;448;4,06313753290423e-05
"1. Full network";"Kazakhstan";"Asia";"KAZ";"KAZ";"gold";69996274,668;0,0291828333248129;0;4,06168686986253e-05
"1. Full network";"Jordan";"Asia";"JOR";"JOR";"gold";20975408,414;0,00710062759380819;0;4,05568689505897e-05
"1. Full network";"Kenya";"Africa";"KEN";"KEN";"tomato";24791828,087;0,00582136262639382;0;4,05754055664483e-05
"1. Full network";"Dem. People's Rep. of Korea";"Asia";"PRK";"PRK";"gold";1827577,686;0,00102293244656623;0;4,04348276739397e-05
"1. Full network";"Rep. of Korea";"Asia";"KOR";"KOR";"gold";614947337,003;0,332702866880695;670;4,06308329653254e-05
"1. Full network";"Kuwait";"Asia";"KWT";"KWT";"gold";37471506,092;0,0202256641192668;0;4,0580568343766e-05
"1. Full network";"Kyrgyzstan";"Asia";"KGZ";"KGZ";"gold";28771176,986;0,0112990159316399;0;4,06128748447013e-05
"1. Full network";"Lao People's Dem. Rep.";"Asia";"LAO";"LAO";"gold";8742619,503;0,00498732392475231;0;4,05546169849213e-05
"1. Full network";"Lebanon";"Asia";"LBN";"LBN";"gold";13479512,762;0,00234367505504081;0;4,04636910228145e-05
